Name,State,Funding,Apps,Accepted,Enrolled,Top10,FTUG,Tuition,RmBrd,PhD,SFRatio,Alumni,Spending,Gradrate,StdScore
Dallas Baptist University,TX,Private,360,314,155,37,848,5400,3270,48,14.4,1,7081,87,-0.16891288
East Texas Baptist University,TX,Private,379,341,265,10,1050,4950,2780,62,15.7,7,5619,38,-0.434299249
East Texas State University,TX,Public,2219,1441,719,,4129,5390,3380,87,21.8,9,5073,35,-0.581205308
Hardin-Simmons University,TX,Private,467,424,350,16,1365,6300,2980,75,13.7,10,7054,38,0.025297242
Howard Payne University,TX,Private,516,454,322,13,1201,5190,2992,59,12.7,6,5684,37,-0.835702011
Houston Baptist University,TX,Private,413,330,215,,1247,5400,2340,65,14,,5438,56,-0.177004969
Incarnate Word College,TX,Private,1163,927,386,16,1685,8840,4689,67,11.4,21,6095,95,-0.407225407
Lamar University,TX,Public,2336,1725,1043,10,5438,4752,3040,48,18.4,12,5879,26,-0.799287613
LeTourneau University,TX,Private,477,417,204,29,1532,8840,4240,58,20.8,23,6863,56,0.667810108
Lubbock Christian University,TX,Private,550,500,275,9,863,6612,2954,39,11.9,8,5367,39,-0.434299249
McMurry University,TX,Private,578,411,187,25,880,6930,3452,57,11,11,6383,32,-0.459823982
University of North Texas,TX,Public,4418,2737,2049,23,14047,4104,3579,86,22.6,6,5657,35,0.271701857
Our Lady of the Lake University,TX,Private,2308,1336,295,22,1202,8530,3644,56,14.9,25,7114,37,-1.02751864
Sam Houston State University,TX,Public,4839,3549,1577,41,8901,5130,2970,76,27.2,,4029,43,-0.434299249
Schreiner College,TX,Private,584,413,131,19,521,8955,5900,51,11.8,23,8545,52,-0.338846738
Southwest Texas State University,TX,Public,8532,5316,2421,14,13806,4860,3676,70,21.2,13,4056,39,-0.463870026
Southwestern Adventist College,TX,Private,321,318,172,11,620,7536,3736,44,13,12,5309,36,-0.840152138
Southwestern University,TX,Private,1244,912,352,44,1177,11850,4675,83,11.3,35,12995,67,1.104378801
St. Edward's University,TX,Private,1272,1012,375,20,1732,9428,4070,76,15.7,16,7037,46,-0.213419367
St. Mary's University of San Antonio,TX,Private,1243,1020,414,33,2149,8678,3858,82,16.2,7,7651,72,-0.0151632
Stephen F. Austin State University,TX,Public,5870,4461,2272,12,9851,4860,3610,85,21.4,3,3997,50,-0.334396611
Sul Ross State University,TX,Public,,,305,7,1535,3888,2980,68,18.8,,5478,28,-1.898599393
Prairie View A. and M. University,TX,Public,2405,2234,1061,10,4564,4290,3500,55,19.4,1,5967,35,-2.040210941
Tarleton State University,TX,Public,1195,1095,923,,4856,4860,2784,60,21.9,,4242,41,-0.961129382
Jarvis Christian College,TX,Private,575,482,206,9,542,3750,3060,48,12.1,,,25,-3.41344148
Texas College,TX,Private,254,189,189,15,503,3605,2430,37,18.4,,4800,26,-2.594114917
Texas A&M University at Kingsville,TX,Public,1822,1481,1055,10,4455,,,89,19.7,10,5049,42,-1.597135489
Texas Lutheran College,TX,Private,497,423,215,27,895,7850,3410,54,13.8,24,7002,50,-0.160820792
Texas Southern University,TX,Public,4345,3245,2604,15,5584,7860,3360,65,18.2,21,3605,10,-1.243948395
Texas Tech University,TX,Public,6334,5051,2957,25,16785,4860,3688,82,24.7,24,5449,41,0.227195371
Texas Wesleyan University,TX,Private,592,501,279,19,1204,6400,3484,80,14.5,10,7936,43,-0.924714984
Trinity University,TX,Private,2425,1818,601,62,2110,12240,5150,94,9.6,20,14703,93,1.958461995
University of Dallas,TX,Private,681,588,246,44,1058,10760,6230,85,13.4,26,8731,63,1.46002661
University of Houston-Main Campus,TX,Public,6233,3990,2150,32,15340,4104,3980,,14.6,13,6895,32,0.041481419
University of St. Thomas,TX,Private,374,280,185,45,995,8550,4050,75,12.6,17,7237,62,1.12420494
University of Texas at Arlington,TX,Public,3281,2559,1448,19,10975,4422,2780,73,21,4,4696,29,-0.330350567
University of Texas at Austin,TX,Public,14752,9572,5329,48,30017,5130,3309,91,19.7,11,7837,65,1.197437818
Wayland Baptist University,TX,Private,253,216,196,,829,5100,2791,50,13.6,5,6271,91,-0.645537933
West Texas A&M University,TX,Public,1950,1506,1023,7,4111,4104,2706,70,21.9,10,4717,34,-0.532652778
University of Texas at San Antonio,TX,Public,4217,3100,1686,17,9375,4104,5376,94,25.3,3,4329,50,-0.463870026
Texas A&M Univ. at College Station,TX,Public,14474,10519,6392,49,31643,5130,3412,89,23.1,29,8471,69,0.966813298
University of Utah,UT,Public,5095,4491,2400,27,13894,6857,3975,89,12.8,9,9275,37,0.6030734
Weber State University,UT,Public,2632,2509,1750,,8609,5148,2595,66,23.9,0,5334,38,-0.434299249
Averett College,VA,Private,627,556,172,16,777,9925,4135,59,22.4,11,6523,48,-0.606730041
Bluefield College,VA,Private,377,358,181,15,653,7150,4350,61,17.8,3,6259,53,-1.013727957
College of William and Mary,VA,Public,7117,3106,1217,68,5186,11720,4298,89,12.1,31,9534,93,2.201224648
Christopher Newport University,VA,Public,883,766,428,3,2910,7860,4750,80,21.2,16,4639,48,-0.792848075
Emory & Henry College,VA,Private,765,646,226,30,809,8578,4408,79,13.9,51,8061,82,0.016801071
Ferrum College,VA,Private,1339,1107,336,12,1051,9400,4200,53,12.5,9,7967,22,-1.205544585
Hampden - Sydney College,VA,Private,817,644,307,20,945,13218,4773,95,13.3,53,12263,69,0.914582586
Hampton University,VA,Private,7178,3755,1433,25,4623,7161,3518,60,14,9,6791,70,-0.412519918
Hollins College,VA,Private,602,498,215,26,795,13470,5515,78,11.1,48,13957,72,0.328346476
Longwood College,VA,Public,2747,1870,724,12,2874,7920,3962,74,18.4,23,5553,62,0.105814044
James Madison University,VA,Public,11223,5285,2082,32,9652,7994,4544,77,17.9,29,5212,98,1.124976886
Mary Baldwin College,VA,Private,499,441,199,26,846,11200,7400,66,6.8,50,10819,90,-0.315414857
Marymount University,VA,Private,941,772,214,10,1247,11390,5280,77,10.6,17,8575,55,-0.493440802
Old Dominion University,VA,Public,4569,3110,1251,18,8346,9464,4540,79,15.1,17,6727,45,-0.274954415
Radford University,VA,Public,5702,4894,1742,15,8077,6684,4110,73,19.6,9,4519,62,-0.096084084
Randolph-Macon College,VA,Private,1771,1325,306,21,1071,13840,3735,77,10.7,38,11080,74,0.388596838
Randolph-Macon Woman's College,VA,Private,696,616,169,35,653,13970,6110,88,9.2,24,16358,68,0.764511087
Virginia Commonwealth University,VA,Public,4963,3497,1567,18,10262,10217,4182,81,8.7,11,11183,45,-0.250678149
Roanoke College,VA,Private,2227,1790,437,27,1460,13425,4425,85,13,26,9405,72,0.412873103
Shenandoah University,VA,Private,818,620,218,,868,10700,4500,60,9.2,20,9471,59,-0.625307712
Sweet Briar College,VA,Private,462,402,146,36,527,14500,6000,91,6.5,48,18953,61,0.534290649
Clinch Valley Coll. of  the Univ. of Virginia,VA,Public,689,561,250,15,1125,7168,3689,67,18.1,9,4417,46,-0.914229401
Virginia Intermont College,VA,Private,411,354,138,14,495,8170,3980,32,12.3,,,48,-1.134705201
Virginia Military Institute,VA,Public,904,683,349,16,1191,9020,3800,84,11.1,51,10709,68,0.207369232
Virginia Union University,VA,Private,1847,1610,453,19,1298,7384,3494,51,13.7,8,6757,30,-2.492186647
Christendom College,VA,Private,81,72,51,33,139,8730,3600,92,9.3,17,10922,58,0.850286181
Bennington College,VT,Private,519,327,114,25,457,21700,4100,35,10.1,33,16364,55,1.197805682
Castleton State College,VT,Public,1257,940,363,9,1547,7656,4690,89,14.7,8,6318,79,-0.593343441
College of St. Joseph,VT,Private,141,118,55,12,201,8300,4850,53,9.5,19,6936,76,-1.44021515
Goddard College,VT,Private,96,87,49,,257,13936,5104,56,14.5,8,4557,100,0.259123423
Green Mountain College,VT,Private,780,628,198,7,545,11750,2700,77,14,24,6475,76,-0.71192719
Johnson State College,VT,Public,833,669,279,3,1224,7656,4690,80,14.4,15,6564,36,-0.97087402
Marlboro College,VT,Private,268,187,63,,260,18375,6075,56,7.5,41,11767,61,0.825569613
Norwich University,VT,Private,1743,1625,626,8,1862,14134,5270,71,13.1,22,9209,63,-0.821911329
Saint Michael's College,VT,Private,1910,1380,463,16,1715,13030,5860,79,14.5,34,10190,84,0.283399688
Trinity College,VT,Private,222,185,91,16,484,11010,5208,58,10.4,26,9586,78,-1.116531612
University of Vermont,VT,Public,7663,6008,1735,18,7353,15516,4928,87,9.9,10,12646,79,0.590899049
Eastern Washington University,WA,Public,2231,1908,767,,6561,7974,3914,69,17,4,7451,47,-1.874323128
Gonzaga University,WA,Private,1886,1524,526,31,2523,13000,4450,78,14.7,32,9553,69,0.813063617
Pacific Lutheran University,WA,Private,1603,1392,504,31,2580,13312,4488,78,11,23,9431,83,0.320254388
Seattle Pacific University,WA,Private,1183,1016,411,42,1922,12669,4875,83,16.8,20,10368,66,-0.121204734
Seattle University,WA,Private,2115,1540,494,28,2993,12825,4375,85,12.2,16,10175,89,0.44932372
St. Martin's College,WA,Private,191,165,63,5,494,11550,4270,43,14.5,8,9209,40,-0.717962646
University of Puget Sound,WA,Private,4044,2826,688,51,2738,16230,4500,79,15,17,11217,63,1.290092753
Western Washington University,WA,Public,5548,3563,1549,30,8909,8124,4144,83,22.7,10,7203,61,0.493830206
Whitman College,WA,Private,1861,998,359,45,1220,16670,4900,80,10.5,51,13198,72,1.682154959
Whitworth College,WA,Private,1121,926,372,43,1270,12660,4500,80,16.9,20,8328,80,0.63139571
Evergreen State College,WA,Public,1801,1101,438,14,3065,6297,4600,75,18.1,14,8355,68,0.598991137
Alverno College,WI,Private,494,313,157,23,1317,8352,3640,36,11.1,26,8127,55,-0.821911329
Beloit College,WI,Private,1320,923,284,26,1085,16304,3616,87,11.1,26,12957,69,1.38315177
Carroll College,WI,Private,1160,991,352,19,1357,12200,3880,74,17.8,25,7666,79,-0.046687169
Carthage College,WI,Private,1616,1427,434,20,1405,13125,3775,74,15.9,22,7364,62,0.025297242
Concordia University Wisconsin,WI,Private,845,690,323,,1870,9300,3400,49,20.5,4,4677,57,-0.046687169
Lakeland College,WI,Private,497,452,231,24,887,9400,4005,49,17.2,25,4054,57,-0.821911329
Marian College of Fond du Lac,WI,Private,824,670,337,15,1160,9400,3400,37,8.4,21,5352,59,-0.821911329
Marquette University,WI,Private,5152,4600,1685,36,7016,11610,4760,86,13.5,25,9982,77,0.90207659
Milwaukee School of Engineering,WI,Private,1217,1088,496,36,1773,11505,3255,35,16.7,23,7140,67,1.11614907
Mount Mary College,WI,Private,235,217,121,12,931,8950,3119,51,10.7,26,7016,78,-0.160012627
Northland College,WI,Private,907,802,200,15,726,9570,3750,58,15.9,,7774,52,-0.229199461
Ripon College,WI,Private,587,501,211,28,735,15200,4100,87,9.4,49,12472,64,0.777053302
St. Norbert College,WI,Private,1334,1243,568,30,1946,12140,4450,74,15.1,36,8595,88,1.169519591
University of Wisconsin at Milwaukee,WI,Public,5244,3782,1930,12,11561,8786,2964,79,15.9,8,8094,38,-0.046687169
University of Wisconsin at Green Bay,WI,Public,2409,1939,759,17,3819,6900,2800,81,22.2,1,5968,46,-0.046687169
Viterbo College,WI,Private,647,518,271,17,1014,9140,3365,51,10.7,31,8050,73,-0.046687169
University of Wisconsin-Stout,WI,Public,2593,1966,1030,9,6038,6704,2592,78,21,17,6254,65,-0.434299249
Univ. of Wisconsin at Eau Claire,WI,Public,5729,4520,1957,20,8516,6996,2705,80,19.3,28,6139,61,0.239333503
Univ. of Wisconsin at Platteville,WI,Public,2733,2000,917,,4381,6400,2515,66,20.6,25,7100,59,-0.046687169
Univ. of Wisconsin at Stevens Point,WI,Public,4191,3090,1375,17,7198,7142,2958,,19.2,,,67,-0.046687169
University of Wisconsin-Superior,WI,Public,910,910,342,14,1434,7032,2780,75,15.2,15,6490,36,-0.434299249
University of Wisconsin-Whitewater,WI,Public,4400,3719,1472,12,7804,6950,2500,90,23.1,16,5559,67,-0.434299249
University of Wisconsin at Parkside,WI,Public,1705,1339,772,9,2999,,,87,18.4,13,6855,28,-0.821911329
Univ. of Wisconsin at OshKosh,WI,Public,4800,2900,1515,14,7764,6874,2394,73,19.2,14,5901,56,-0.046687169
Wisconsin Lutheran College,WI,Private,152,128,75,17,282,9100,3700,48,8.5,26,8960,50,0.340924911
Alderson-Broaddus College,WV,Private,582,498,172,21,799,10468,3380,40,11.5,15,8991,52,-0.940899161
Bethany College,WV,Private,664,515,210,12,712,15700,5750,80,13,24,10941,59,0.004662938
Bluefield State College,WV,Public,1046,832,518,15,1463,4498,,24,16.3,,2520,42,-1.365329722
Concord College,WV,Private,1497,1469,383,,2028,4426,3236,55,19.2,22,4311,49,-0.821911329
Davis & Elkins College,WV,Private,629,501,183,10,754,9400,4450,64,12.8,26,8813,94,-1.138751245
Fairmont State College,WV,Public,2485,1800,1800,10,4540,4238,3040,37,19.6,,3191,50,-1.209523409
Glenville State College,WV,Public,1246,1246,553,8,1595,4080,3264,25,17.3,,3689,65,-1.209523409
Marshall University,WV,Private,4226,3666,2007,14,7703,5094,4010,77,16.6,10,6203,50,-0.043889592
University of Charleston,WV,Private,682,535,204,22,771,9500,3540,26,2.5,10,7683,57,-0.297982213
Salem-Teikyo University,WV,Private,489,384,120,23,700,10575,3952,46,13,9,8946,98,-0.046687169
Shepherd College,WV,Private,1405,1167,557,20,2452,4694,3890,57,16.5,,3485,46,0.101363917
West Liberty State College,WV,Public,1164,1062,478,12,2138,4470,2890,33,16.3,10,4249,60,-1.209523409
West Virginia Institute of Technology,WV,Public,1594,1572,675,,2432,,3752,,15.3,,4325,56,-0.821911329
West Virginia University,WV,Public,9630,7801,2881,23,14524,6370,4310,83,13.4,,8318,57,-0.112268261
West Virginia Wesleyan College,WV,Private,1566,1400,483,28,1509,14200,3775,58,16.4,42,8080,67,0.008708983
Wheeling Jesuit College,WV,Private,903,755,213,15,971,10500,4545,66,14.1,27,7494,72,-0.249833765
University of Wyoming,WY,Public,2029,1516,1073,23,7535,5988,3422,91,15.1,13,8745,45,0.340924911
